BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
401622,VISA,DEBIT,BUSINESS,"YAPI VE KREDI BANKASI, A.S.",+904440444,http://www.yapikredi.com.tr,TR,TUR,TURKEY
401738,VISA,DEBIT,ELECTRON,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
402003,VISA,CREDIT,,"EGEBANK, A.S.",,,TR,TUR,TURKEY
402277,VISA,CREDIT,CLASSIC,QNB BANK A.S,,,TR,TUR,TURKEY
402278,VISA,CREDIT,GOLD,QNB BANK A.S,,,TR,TUR,TURKEY
402299,VISA,CREDIT,GOLD,"FORTIS BANK, A.S.",,,TR,TUR,TURKEY
402458,VISA,CREDIT,CLASSIC,"TURK EKONOMI BANKASI, A.S.",,http://www.teb.com.tr,TR,TUR,TURKEY
402459,VISA,CREDIT,CLASSIC,"TURK EKONOMI BANKASI, A.S.",,http://www.teb.com.tr,TR,TUR,TURKEY
402526,VISA,CREDIT,CLASSIC,"TURKIYE HALK BANKASI, A.S.",+903122892000,http://www.halkbank.com.tr,TR,TUR,TURKEY
402563,VISA,CREDIT,CLASSIC,"FINANSBANK, A.S.",+908502220900,https://www.qnbfinansbank.com,TR,TUR,TURKEY
402589,VISA,CREDIT,CLASSIC,"KUVEYT TURK KATILIM BANKASI, A.S.",,http://www.kuveytturk.com.tr,TR,TUR,TURKEY
402590,VISA,CREDIT,GOLD,"KUVEYT TURK KATILIM BANKASI, A.S.",,http://www.kuveytturk.com.tr,TR,TUR,TURKEY
402591,VISA,DEBIT,GOLD,"KUVEYT TURK KATILIM BANKASI, A.S.",,http://www.kuveytturk.com.tr,TR,TUR,TURKEY
402592,VISA,CREDIT,BUSINESS,"KUVEYT TURK KATILIM BANKASI, A.S.",,http://www.kuveytturk.com.tr,TR,TUR,TURKEY
402940,VISA,CREDIT,CLASSIC,TURKIYE VAKIFLAR BANKASI T.A.O.,+903124557851,http://www.vakifbank.com.tr,TR,TUR,TURKEY
403059,VISA,DEBIT,,,,,TR,TUR,TURKEY
403082,VISA,CREDIT,BUSINESS,QNB BANK A.S,,,TR,TUR,TURKEY
403134,VISA,CREDIT,BUSINESS,"DENIZBANK, A.S.",,http://www.denizbank.com,TR,TUR,TURKEY
403223,VISA,CREDIT,CLASSIC,"ALTERNATIFBANK, A.S.",+902123156500,http://www.abank.com.tr,TR,TUR,TURKEY
403228,VISA,DEBIT,ELECTRON,,,,TR,TUR,TURKEY
403360,VISA,CREDIT,PLATINUM,"KUVEYT TURK KATILIM BANKASI, A.S.",,http://www.kuveytturk.com.tr,TR,TUR,TURKEY
403595,VISA,CREDIT,,"ALTERNATIFBANK, A.S.",+902123156500,http://www.abank.com.tr,TR,TUR,TURKEY
403666,VISA,CREDIT,CORPORATE T&E,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
403810,VISA,CREDIT,BUSINESS,"KUVEYT TURK KATILIM BANKASI, A.S.",+904440123,http://www.kuveytturk.com.tr,TR,TUR,TURKEY
403836,VISA,CREDIT,BUSINESS,SEKERBANK T.A.S.,+902123197000,http://www.sekerbank.com.tr,TR,TUR,TURKEY
403998,VISA,DEBIT,CLASSIC,"TURKIYE IS BANKASI, A.S.",,http://www.isbank.com.tr,TR,TUR,TURKEY
404308,VISA,CREDIT,GOLD,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
404315,VISA,DEBIT,BUSINESS,"TURK EKONOMI BANKASI, A.S.",,http://www.teb.com.tr,TR,TUR,TURKEY
404350,VISA,CREDIT,BUSINESS,"TURK EKONOMI BANKASI, A.S.",,http://www.teb.com.tr,TR,TUR,TURKEY
404591,VISA,CREDIT,CLASSIC,"T.C. ZIRAAT BANKASI, A.S.",,,TR,TUR,TURKEY
404809,VISA,CREDIT,INFINITE,"YAPI VE KREDI BANKASI, A.S.",,http://www.yapikredi.com.tr,TR,TUR,TURKEY
404952,VISA,CREDIT,BUSINESS,"TURKIYE FINANS KATILIM BANKASI, A.S.",,http://www.turkiyefinans.com.tr,TR,TUR,TURKEY
404990,VISA,DEBIT,CLASSIC,"DENIZBANK, A.S.",,http://www.denizbank.com,TR,TUR,TURKEY
405051,VISA,DEBIT,PREPAID ELECTRON,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
405090,VISA,DEBIT,ELECTRON,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
405148,VISA,DEBIT,TRAVEL MONEY,INTL HDQTRS-CENTER OWNED,,,TR,TUR,TURKEY
405917,VISA,CREDIT,CLASSIC,"HSBC BANK, A.S.",+902123764000,http://www.hsbc.com.tr,TR,TUR,TURKEY
405918,VISA,CREDIT,GOLD,"HSBC BANK, A.S.",+902123764000,http://www.hsbc.com.tr,TR,TUR,TURKEY
405919,VISA,DEBIT,CLASSIC,"HSBC BANK, A.S.",+902123764000,http://www.hsbc.com.tr,TR,TUR,TURKEY
406015,VISA,CREDIT,GOLD,"TURK EKONOMI BANKASI, A.S.",,http://www.teb.com.tr,TR,TUR,TURKEY
406281,VISA,DEBIT,CLASSIC,"YAPI VE KREDI BANKASI, A.S.",,http://www.yapikredi.com.tr,TR,TUR,TURKEY
406386,VISA,DEBIT,CLASSIC,QNB BANK A.S,,,TR,TUR,TURKEY
406456,VISA,CREDIT,,"TURKIYE IS BANKASI, A.S.",+904440202,http://www.isbank.com.tr,TR,TUR,TURKEY
406665,VISA,CREDIT,BUSINESS,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
406666,VISA,CREDIT,BUSINESS,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
407112,VISA,DEBIT,BUSINESS,"ASYA KATILIM BANKASI, A.S.",+902166335000,http://www.bankasya.com.tr,TR,TUR,TURKEY
407814,VISA,DEBIT,BUSINESS,"T.C. ZIRAAT BANKASI, A.S.",,,TR,TUR,TURKEY
408578,VISA,CREDIT,CLASSIC,"ING BANK, A.S.",+908502220600,http://www.ingbank.com.tr,TR,TUR,TURKEY
408579,VISA,CREDIT,CLASSIC,"ING BANK, A.S.",,http://www.ingbank.com.tr,TR,TUR,TURKEY
408581,VISA,DEBIT,ELECTRON,"ING BANK, A.S.",,http://www.ingbank.com.tr,TR,TUR,TURKEY
408593,VISA,DEBIT,ELECTRON,"ING BANK, A.S.",+908502220600,http://www.ingbank.com.tr,TR,TUR,TURKEY
408625,VISA,CREDIT,PLATINUM,"DENIZBANK, A.S.",,http://www.denizbank.com,TR,TUR,TURKEY
408969,VISA,CREDIT,CLASSIC,"HSBC BANK, A.S.",+902123764000,http://www.hsbc.com.tr,TR,TUR,TURKEY
409021,VISA,CREDIT,CLASSIC,"YAPI VE KREDI BANKASI, A.S.",+904440444,http://www.yapikredi.com.tr,TR,TUR,TURKEY
409022,VISA,CREDIT,GOLD,"YAPI VE KREDI BANKASI, A.S.",+904440444,http://www.yapikredi.com.tr,TR,TUR,TURKEY
409070,VISA,CREDIT,CLASSIC,"DENIZBANK, A.S.",,http://www.denizbank.com,TR,TUR,TURKEY
409071,VISA,CREDIT,CLASSIC,"HSBC BANK, A.S.",+902123764000,http://www.hsbc.com.tr,TR,TUR,TURKEY
409084,VISA,CREDIT,CLASSIC,TURKIYE VAKIFLAR BANKASI T.A.O.,+903124557851,http://www.vakifbank.com.tr,TR,TUR,TURKEY
409219,VISA,DEBIT,ELECTRON,TURKIYE GARANTI BANKASI A. S.,,,TR,TUR,TURKEY
409364,VISA,CREDIT,CLASSIC,QNB BANK A.S,,,TR,TUR,TURKEY
410147,VISA,CREDIT,CLASSIC,QNB BANK A.S,,,TR,TUR,TURKEY
410556,VISA,CREDIT,CLASSIC,"KUVEYT TURK KATILIM BANKASI, A.S.",+904440123,http://www.kuveytturk.com.tr,TR,TUR,TURKEY
411156,VISA,CREDIT,CLASSIC,SEKERBANK T.A.S.,+902123197000,http://www.sekerbank.com.tr,TR,TUR,TURKEY
411157,VISA,CREDIT,GOLD,SEKERBANK T.A.S.,+902123197000,http://www.sekerbank.com.tr,TR,TUR,TURKEY
411158,VISA,CREDIT,PLATINUM,SEKERBANK T.A.S.,+902123197000,http://www.sekerbank.com.tr,TR,TUR,TURKEY
411159,VISA,CREDIT,BUSINESS,SEKERBANK T.A.S.,+902123197000,http://www.sekerbank.com.tr,TR,TUR,TURKEY
411685,VISA,CREDIT,BUSINESS,"TURKIYE FINANS KATILIM BANKASI, A.S.",,http://www.turkiyefinans.com.tr,TR,TUR,TURKEY
411724,VISA,CREDIT,CLASSIC,TURKIYE VAKIFLAR BANKASI T.A.O.,+903124557851,http://www.vakifbank.com.tr,TR,TUR,TURKEY
411769,VISA,CREDIT,CLASSIC,"TOPRAKBANK, A.S.",212:2569855,,TR,TUR,TURKEY
411924,VISA,CREDIT,BUSINESS,"DENIZBANK, A.S.",+904440800,http://www.denizbank.com,TR,TUR,TURKEY
411942,VISA,CREDIT,CLASSIC,TURKIYE VAKIFLAR BANKASI T.A.O.,+903124557851,http://www.vakifbank.com.tr,TR,TUR,TURKEY
411943,VISA,CREDIT,CLASSIC,TURKIYE VAKIFLAR BANKASI T.A.O.,+903124557851,http://www.vakifbank.com.tr,TR,TUR,TURKEY
411944,VISA,CREDIT,CLASSIC,TURKIYE VAKIFLAR BANKASI T.A.O.,+903124557851,http://www.vakifbank.com.tr,TR,TUR,TURKEY
411979,VISA,CREDIT,PLATINUM,TURKIYE VAKIFLAR BANKASI T.A.O.,+903124557851,http://www.vakifbank.com.tr,TR,TUR,TURKEY
412199,VISA,DEBIT,PREPAID BUSINESS,"SIPAY ELEKTRONIK PARA VE ODEME HIZMETLERI, A.S.",,,TR,TUR,TURKEY
412574,VISA,CREDIT,CLASSIC,"TURKIYE FINANS KATILIM BANKASI, A.S.",,http://www.turkiyefinans.com.tr,TR,TUR,TURKEY
412576,VISA,CREDIT,BUSINESS,"TURKIYE FINANS KATILIM BANKASI, A.S.",,http://www.turkiyefinans.com.tr,TR,TUR,TURKEY
412931,VISA,CREDIT,,CITIBANK,+902123194500,https://www.citi.com.cn,TR,TUR,TURKEY
412953,VISA,DEBIT,PREPAID,"BANK ASYA KATILIM BANKASI, A.S.",,,TR,TUR,TURKEY
